DoB_month,DoB_day,DoB_year,Age,Name,College,Sex,Eye_Colour,Hair_Colour,Head_length,Face_breadth,Face_iobreadth
9,2,1897,23,Jeffrey Smith,Peterhouse,Male,light,fair,19.812,14.732,6.096
6,22,1882,18,Peter Love,Trinity,Male,dark,red,19.812,14.732,6.35
10,26,1900,20,Scott Watkins,Trinity,Male,dark,jet-black,20.573999999999998,16.256,6.604
11,21,1896,23,Nicholas Davis,Fitzwilliam,Male,medium,red,18.034,15.494,6.35
3,29,1880,19,Christopher Peters,St Catharine's,Male,medium,brown,19.558,15.24,5.588000000000001
12,30,1881,18,Andrew Moore,St Edmund's,Male,medium,brown,19.558,15.748000000000001,5.842
2,5,1888,29,Matthew Tate,St Edmund's,Male,dark,brown,20.066000000000003,14.732,6.604
4,28,1876,27,Michael Banks,Magdalene,Male,medium,jet-black,19.304,14.986,5.842
11,2,1886,26,Phillip Garcia,Selwyn,Male,medium,fair,21.082,15.494,6.35
12,27,1867,24,Brett King,Fitzwilliam,Male,light,fair,19.812,15.24,6.604
8,1,1882,18,Tracy Quinn,Trinity Hall,Male,medium,fair,20.066000000000003,14.732,5.842
5,17,1882,24,Kristopher Jackson,Jesus,Male,dark,dark,19.05,16.256,6.096
2,18,1881,21,Christopher Wong,Trinity Hall,Male,medium,red,19.812,15.494,6.604
8,3,1889,22,Michael Smith,Peterhouse,Male,dark,dark,20.32,15.24,6.35
4,5,1872,20,Marc Olson,St Edmund's,Male,dark,dark,19.812,15.24,6.35
12,14,1895,22,Peter Newman,St Catharine's,Male,dark,brown,19.05,15.494,6.096
8,20,1881,24,Robert Cameron,Queen's,Male,dark,brown,19.304,15.494,5.842
8,24,1870,27,Justin Glenn,Sidney Sussex,Male,light,fair,19.304,14.478000000000002,6.604
1,22,1890,23,Rodney Webster,Peterhouse,Male,dark,dark,20.066000000000003,15.24,6.35
7,11,1888,18,Victor Garrett,King's,Male,dark,jet-black,20.573999999999998,15.748000000000001,6.604
5,19,1900,20,Gregory Coleman,Pembroke,Male,light,jet-black,20.573999999999998,14.986,5.588000000000001
1,11,1874,23,Brian Boyd,Downing,Male,dark,dark,19.304,15.494,6.096
8,1,1886,21,Stephen Haas,Clare,Male,light,dark,19.812,15.748000000000001,6.096
3,18,1877,26,David Brady,Pembroke,Male,dark,brown,19.05,14.478000000000002,6.096
1,16,1891,22,Tony Soto,Emmanuel,Male,light,red,19.558,15.748000000000001,6.096
12,5,1877,18,Randy Schwartz,Downing,Male,light,fair,19.558,15.24,6.35
3,10,1891,21,Douglas Anderson,St Catharine's,Male,dark,fair,19.812,15.494,5.588000000000001
12,17,1882,18,William Walter,Clare,Male,medium,jet-black,20.066000000000003,14.732,5.842
10,22,1880,18,Joshua Blair,Trinity,Male,dark,fair,19.05,15.494,6.096
10,4,1895,18,Jacqueline Wise,Hughes Hall,Female,medium,red,18.541999999999998,14.478000000000002,5.3340000000000005
4,14,1889,19,Calvin Fischer,Sidney Sussex,Male,medium,jet-black,19.304,14.986,6.096
2,11,1895,18,Robert Martin,Clare,Male,dark,fair,20.573999999999998,15.748000000000001,6.35
2,25,1892,22,Daniel Mitchell,Clare,Male,medium,fair,18.541999999999998,14.478000000000002,6.604
4,24,1869,21,Christopher Kelley,Magdalene,Male,medium,fair,20.32,15.494,6.604
7,6,1887,18,William Thompson,Jesus,Male,dark,brown,19.304,14.986,5.842
6,29,1879,24,Joseph Duncan,Trinity Hall,Male,dark,red,19.558,15.494,6.096
12,13,1891,23,Cole Baldwin,Emmanuel,Male,dark,fair,19.812,15.24,6.35
5,23,1884,26,Deborah Lucas,Girton,Female,dark,jet-black,19.05,14.223999999999998,6.096
3,25,1902,18,Andre Roach,Queen's,Male,dark,dark,20.066000000000003,16.002,6.8580000000000005
1,11,1895,19,Samuel George,Trinity Hall,Male,dark,brown,19.304,14.223999999999998,6.604
5,31,1869,23,Kenneth Jones,St John's,Male,medium,jet-black,19.304,14.986,6.35
12,29,1878,22,Brent Jackson,Trinity,Male,dark,brown,20.573999999999998,14.986,6.096
11,21,1873,18,Luke Blackwell,Trinity,Male,medium,dark,19.304,14.478000000000002,6.096
8,7,1870,21,Craig Williams,St John's,Male,dark,fair,20.066000000000003,14.986,5.842
7,12,1899,19,Walter Mccall,Gonville & Caius,Male,dark,fair,19.304,15.24,5.842
2,27,1872,19,William Wells,Jesus,Male,light,jet-black,20.066000000000003,14.732,5.588000000000001
7,9,1884,18,Kenneth Miller,Downing,Male,medium,fair,19.812,15.494,6.096
4,29,1881,24,Troy Jimenez,Trinity,Male,dark,dark,19.558,14.986,6.604
7,2,1895,19,Nicholas Jackson,Fitzwilliam,Male,dark,fair,19.558,15.494,6.35
12,13,1893,21,Miguel Mcbride,Christ's,Male,dark,dark,20.573999999999998,15.24,5.842
3,8,1884,19,William Avila,Queen's,Male,dark,red,18.541999999999998,15.24,6.096
11,4,1883,23,David Thomas,Clare,Male,light,fair,20.32,14.986,6.35
10,4,1878,23,Jack Gregory,Jesus,Male,dark,dark,19.304,15.748000000000001,6.604
11,15,1891,20,Andrew Murphy,Corpus Christi,Male,dark,dark,20.573999999999998,14.732,5.842
11,23,1882,21,James Nguyen,Downing,Male,light,red,19.812,15.24,6.096
1,22,1882,21,Daniel Stevens,Magdalene,Male,light,dark,19.812,15.748000000000001,6.096
8,23,1872,30,Matthew Smith,Trinity,Male,dark,jet-black,19.812,14.986,5.588000000000001
8,17,1876,27,Nathan Edwards,Jesus,Male,light,fair,19.05,16.002,6.096
12,1,1879,21,Travis Carlson,Queen's,Male,medium,dark,20.573999999999998,14.986,6.096
6,5,1883,19,Anthony Green,Fitzwilliam,Male,dark,brown,19.812,15.24,6.8580000000000005
8,4,1898,21,Daniel Martin,St John's,Male,dark,brown,19.558,15.24,5.588000000000001
5,23,1873,18,Scott Brown,Fitzwilliam,Male,medium,jet-black,19.304,14.986,6.35
3,7,1894,24,Alfred Rodriguez,Peterhouse,Male,medium,jet-black,19.304,15.494,5.3340000000000005
3,21,1876,24,Marcus Hunt,Gonville & Caius,Male,dark,brown,20.066000000000003,15.494,6.096
6,11,1873,21,Steven Hansen,St John's,Male,light,brown,18.288,15.494,6.35
3,16,1880,22,Steven Hamilton,Clare,Male,medium,fair,20.066000000000003,15.24,6.096
9,10,1899,18,Gregory Nguyen,St Catharine's,Male,dark,brown,19.812,14.986,6.35
3,12,1867,29,Willie Irwin,Trinity Hall,Male,dark,brown,19.812,14.732,6.096
7,19,1882,28,Ian Woods,Selwyn,Male,light,brown,18.541999999999998,15.494,6.096
12,8,1891,24,Joseph Huerta,Clare,Male,dark,fair,19.812,15.24,6.35
4,11,1888,25,Vincent Thomas,Sidney Sussex,Male,medium,brown,19.304,15.24,6.096
11,17,1900,18,Anthony Hayes,Gonville & Caius,Male,dark,fair,20.066000000000003,14.478000000000002,5.842
9,22,1866,23,Mark Huffman,Queen's,Male,medium,brown,19.812,14.986,6.35
5,21,1875,20,Douglas Mitchell,Queen's,Male,medium,jet-black,18.796000000000003,15.748000000000001,6.35
2,13,1893,19,Billy Walker,Trinity,Male,dark,fair,19.812,14.478000000000002,6.604
6,16,1866,25,Eric Webb,Trinity,Male,dark,dark,20.828,16.002,6.35
8,3,1888,24,Jason Baxter,Clare,Male,dark,dark,19.558,15.494,6.096
11,14,1874,29,Harry Taylor,Fitzwilliam,Male,medium,fair,20.066000000000003,15.494,6.35
3,13,1879,20,Eric Reyes,Trinity,Male,dark,fair,19.812,14.732,6.096
7,27,1872,18,William Miller,Pembroke,Male,dark,fair,19.05,14.478000000000002,6.8580000000000005
11,2,1886,26,Todd Hall,Trinity,Male,dark,jet-black,20.066000000000003,15.24,6.35
3,7,1899,19,Andrew Sherman,Emmanuel,Male,medium,red,19.558,15.494,5.588000000000001
2,7,1880,18,David Morales,St Catharine's,Male,dark,brown,19.304,16.002,5.842
9,23,1887,22,Matthew Swanson,Trinity,Male,medium,dark,20.573999999999998,14.986,6.35
11,23,1889,19,Jordan Ingram,Pembroke,Male,dark,jet-black,19.812,16.002,5.842
11,15,1869,23,Danny Garcia,Trinity,Male,dark,red,20.573999999999998,14.478000000000002,6.35
10,4,1873,24,Blake Page,Fitzwilliam,Male,dark,jet-black,18.796000000000003,15.748000000000001,5.842
4,20,1875,29,Christopher Massey,Trinity,Male,medium,brown,20.066000000000003,14.986,6.35
10,25,1872,28,Robert Miller,Gonville & Caius,Male,dark,red,19.558,14.986,6.096
7,28,1880,22,Steven Johnson,Christ's,Male,light,jet-black,19.304,15.24,5.3340000000000005
3,26,1884,27,Javier Scott,Selwyn,Male,medium,fair,20.828,15.494,5.842
1,19,1897,22,Daniel Phillips,St Catharine's,Male,dark,red,18.541999999999998,14.732,6.096
12,11,1870,27,James Stewart,Trinity,Male,dark,red,20.066000000000003,15.748000000000001,5.842
7,30,1897,20,Andre Castillo,Peterhouse,Male,light,dark,20.573999999999998,15.748000000000001,6.096
5,13,1883,23,Joseph Bender,Peterhouse,Male,dark,red,19.812,14.223999999999998,6.35
7,2,1894,19,Mark Harris,Trinity,Male,dark,jet-black,20.066000000000003,14.986,6.096
6,1,1866,26,Joseph Cruz,Jesus,Male,dark,brown,19.558,14.732,6.35
1,13,1894,21,Eric Olsen,St John's,Male,medium,red,19.05,15.494,6.096
11,25,1881,23,Robert Brown,Queen's,Male,medium,jet-black,19.05,14.732,6.8580000000000005
5,5,1873,30,Lauren Cox,Hughes Hall,Female,medium,brown,19.304,14.478000000000002,5.842
3,29,1891,24,Matthew Graham,Pembroke,Male,medium,brown,19.812,16.002,6.604
9,11,1882,20,Dennis Frazier,Fitzwilliam,Male,dark,brown,18.796000000000003,15.748000000000001,5.842
6,8,1898,19,Patrick Reyes,Jesus,Male,dark,dark,20.32,14.986,5.3340000000000005
11,2,1863,28,James Mitchell,Queen's,Male,dark,jet-black,20.573999999999998,13.97,6.096
3,1,1880,18,Shane York,Downing,Male,medium,red,19.558,15.494,6.35
8,11,1873,18,Patrick Stevens,Clare,Male,dark,fair,21.336000000000002,15.24,6.096
5,16,1883,23,William Morris,Fitzwilliam,Male,dark,fair,19.812,15.748000000000001,6.8580000000000005
2,21,1900,20,Frank Carter,Emmanuel,Male,dark,fair,20.828,14.478000000000002,6.096
6,30,1878,22,Robert Smith,Trinity,Male,dark,fair,18.541999999999998,14.986,5.842
9,5,1871,18,Michael Wilson,Downing,Male,medium,brown,19.558,14.732,6.35
7,3,1872,19,Timothy Padilla,St John's,Male,light,jet-black,19.304,15.494,5.842
11,8,1885,18,Justin Cole,Clare,Male,dark,brown,19.304,15.24,6.096
6,27,1894,18,Richard Mcmillan,St Catharine's,Male,dark,fair,19.05,15.24,6.35
10,14,1891,18,Glenn Butler,Trinity Hall,Male,dark,dark,19.304,14.986,6.096
4,22,1901,19,Matthew Mitchell,St Catharine's,Male,dark,fair,19.558,15.748000000000001,5.588000000000001
8,26,1888,20,Tony Douglas,St John's,Male,dark,dark,20.066000000000003,16.002,6.096
10,2,1890,20,Thomas Daniels,Trinity,Male,dark,red,20.066000000000003,14.986,5.3340000000000005
11,11,1887,23,Jose Hamilton,Gonville & Caius,Male,light,dark,20.828,14.478000000000002,6.35
1,12,1883,20,Jay Johnson,Clare,Male,light,jet-black,20.066000000000003,15.24,6.35
11,3,1899,21,David Bailey,Pembroke,Male,dark,jet-black,20.066000000000003,16.002,6.35
2,5,1883,20,Grant Davis,Trinity,Male,light,jet-black,18.541999999999998,14.986,6.096
5,28,1875,28,Shannon Perez,King's,Male,dark,brown,19.558,15.748000000000001,6.604
8,2,1896,24,Bradley Taylor,Corpus Christi,Male,light,dark,19.812,15.24,5.588000000000001
7,26,1887,24,Thomas Murray,St Catharine's,Male,medium,jet-black,19.558,16.51,6.096
6,18,1873,28,Kelly Silva,Downing,Male,dark,jet-black,20.066000000000003,15.748000000000001,6.096
12,15,1896,23,Nicholas Bird,Trinity,Male,light,red,19.558,14.986,5.842
9,8,1892,22,Omar Taylor,Selwyn,Male,medium,brown,19.812,15.24,6.604
6,17,1892,27,James Wheeler,Clare,Male,dark,brown,20.573999999999998,15.24,5.842
5,15,1876,23,Kevin Abbott,Clare,Male,light,jet-black,20.828,15.748000000000001,6.35
8,29,1900,18,Brandon Huff,St Edmund's,Male,medium,dark,20.066000000000003,14.986,6.35
7,6,1866,23,Barry Rivera,Jesus,Male,medium,brown,18.541999999999998,15.24,5.842
2,13,1869,21,Charles Perez,Peterhouse,Male,medium,jet-black,20.573999999999998,15.494,6.35
2,1,1883,25,Jose Hernandez,Christ's,Male,dark,jet-black,20.573999999999998,14.986,6.8580000000000005
5,24,1884,23,John Mitchell,Emmanuel,Male,dark,fair,19.812,14.223999999999998,5.842
4,13,1878,22,Lawrence Rhodes,Selwyn,Male,light,dark,21.082,14.732,6.096
12,25,1872,19,James Jackson,King's,Male,light,dark,19.304,15.748000000000001,6.35
2,5,1879,19,John Bowen,Fitzwilliam,Male,light,brown,21.336000000000002,16.002,5.588000000000001
2,19,1873,19,Victor Lozano,St Edmund's,Male,light,jet-black,19.304,14.478000000000002,5.842
9,23,1894,20,Eric Gomez,St Edmund's,Male,medium,brown,19.05,14.986,5.842
5,22,1883,23,Mark Gillespie,Christ's,Male,light,red,18.796000000000003,15.748000000000001,6.604
6,15,1876,22,Nicholas Davis,Trinity,Male,dark,fair,20.32,15.748000000000001,6.096
7,3,1876,24,John Wheeler,Trinity Hall,Male,light,jet-black,20.32,15.24,6.604
11,1,1895,18,Charles James,King's,Male,medium,brown,19.558,14.478000000000002,6.35
6,23,1868,23,Tyler Davis,Pembroke,Male,dark,jet-black,20.066000000000003,15.748000000000001,6.096
4,4,1892,19,Michael Morton,Queen's,Male,dark,brown,19.558,14.986,6.8580000000000005
5,2,1883,19,Kirk Rivera,Gonville & Caius,Male,dark,dark,19.05,14.732,6.096
11,25,1882,21,Bryan Bowers,St John's,Male,medium,red,19.812,16.002,5.588000000000001
9,25,1890,19,Kyle Pierce,Downing,Male,dark,brown,19.812,15.748000000000001,5.3340000000000005
10,30,1873,29,Samuel Jackson,Trinity,Male,dark,red,20.573999999999998,15.494,5.588000000000001
6,21,1869,24,James Whitaker,Queen's,Male,dark,fair,19.304,14.986,6.35
4,27,1885,21,Jason King,Christ's,Male,dark,brown,19.812,15.24,5.08
12,20,1895,23,Victor Myers,Magdalene,Male,light,jet-black,20.32,14.986,6.096
9,6,1879,23,Peter Oliver,Trinity Hall,Male,light,fair,19.304,14.732,6.35
9,24,1888,23,Michael Williams,Pembroke,Male,medium,fair,20.066000000000003,16.256,6.35
1,13,1877,21,Scott Mccarthy,Sidney Sussex,Male,medium,fair,19.812,14.732,7.111999999999999
11,22,1898,19,Timothy Green,King's,Male,medium,brown,20.066000000000003,15.494,5.588000000000001
12,12,1880,24,Travis Richardson,Pembroke,Male,dark,fair,20.32,14.986,6.35
10,16,1895,23,Dale Smith,Gonville & Caius,Male,medium,fair,21.336000000000002,15.748000000000001,6.8580000000000005
11,28,1866,24,Zachary Singh,Fitzwilliam,Male,medium,fair,19.558,15.748000000000001,6.35
1,28,1871,23,William Graves,St John's,Male,dark,dark,20.066000000000003,14.478000000000002,5.842
10,6,1869,21,Albert Henry,St John's,Male,dark,jet-black,20.32,14.478000000000002,5.842
1,2,1876,24,Mark Hughes,Fitzwilliam,Male,medium,fair,19.812,15.748000000000001,6.35
2,23,1880,19,Dale Lara,St Edmund's,Male,medium,fair,20.32,14.986,5.588000000000001
3,17,1873,23,Kevin Delacruz,St Edmund's,Male,medium,jet-black,20.066000000000003,15.748000000000001,6.8580000000000005
11,7,1875,20,Robert Silva,Peterhouse,Male,dark,fair,19.05,14.986,6.096
9,15,1883,23,John Vaughan,Trinity Hall,Male,medium,fair,18.796000000000003,14.478000000000002,6.35
11,25,1871,18,Douglas Johnson,Fitzwilliam,Male,dark,brown,19.304,15.24,6.096
5,26,1887,20,Jimmy Golden,Clare,Male,light,jet-black,19.812,16.51,6.35
8,2,1891,28,Isabella Lewis,Newnham,Female,dark,red,18.034,14.732,6.096
5,4,1861,29,Matthew Butler,St Edmund's,Male,medium,jet-black,20.066000000000003,14.986,6.096
10,17,1886,20,Edward Hays,Emmanuel,Male,medium,jet-black,20.32,14.986,6.096
3,30,1884,22,Andrew Moore,Trinity Hall,Male,medium,jet-black,20.32,14.986,6.096
1,1,1883,27,Jacob Carrillo,Fitzwilliam,Male,medium,jet-black,20.32,16.002,6.604
2,7,1886,29,Joshua Mcknight,Trinity Hall,Male,light,dark,19.558,14.986,5.842
1,27,1876,21,Robert Taylor,Clare,Male,dark,jet-black,19.558,14.986,6.096
12,19,1881,20,Jacob Acosta,King's,Male,medium,brown,20.32,15.24,6.096
3,26,1877,21,Micheal Braun,King's,Male,light,red,19.812,14.478000000000002,6.096
9,26,1886,23,Kyle Hampton,Christ's,Male,dark,fair,20.828,16.256,6.604
3,4,1893,18,Antonio Dillon,Jesus,Male,medium,dark,19.812,14.732,6.35
9,2,1873,19,John Johnson,Queen's,Male,dark,dark,19.558,15.24,6.35
8,4,1887,23,Michael Hill,Trinity Hall,Male,dark,brown,20.066000000000003,14.223999999999998,6.604
2,16,1882,25,Joshua Daniels,Magdalene,Male,light,red,20.066000000000003,15.24,6.604
6,6,1897,18,Ryan Mendoza,Downing,Male,dark,red,20.066000000000003,15.494,6.35
6,19,1894,20,Garrett Gilbert,Pembroke,Male,medium,jet-black,19.558,14.732,5.588000000000001
10,14,1896,23,Jared Whitney,Fitzwilliam,Male,medium,brown,19.05,14.986,6.604
8,8,1882,19,Justin Kennedy,Queen's,Male,dark,dark,19.812,14.732,6.096
12,17,1880,23,Scott Smith,Queen's,Male,light,fair,20.066000000000003,15.494,6.35
9,18,1886,21,Alan Gomez,Selwyn,Male,dark,jet-black,19.558,15.24,6.096
8,1,1894,19,Cody Abbott,Christ's,Male,dark,jet-black,20.066000000000003,14.986,6.096
7,12,1861,29,Kevin Reid,Sidney Sussex,Male,dark,dark,19.558,14.986,5.842
9,5,1871,25,Warren Jordan,Selwyn,Male,dark,fair,20.066000000000003,14.986,6.604
10,24,1875,21,Daniel Ross,Christ's,Male,medium,dark,19.558,14.986,6.096
4,20,1885,22,Roberto Sanchez,St John's,Male,dark,fair,19.812,14.478000000000002,5.588000000000001
3,12,1872,28,Matthew Lee,Sidney Sussex,Male,medium,jet-black,19.812,15.24,6.604
9,23,1876,23,Randy Lowe,Corpus Christi,Male,dark,jet-black,19.812,15.24,6.604
10,13,1887,25,Timothy Franklin,St Catharine's,Male,dark,dark,20.066000000000003,14.478000000000002,5.842
8,10,1886,18,Richard Rowland,Queen's,Male,medium,jet-black,21.082,14.732,6.35
6,4,1876,22,David Garcia,St John's,Male,dark,jet-black,20.066000000000003,15.494,6.35
4,29,1877,22,Nicholas Reid,Fitzwilliam,Male,dark,jet-black,19.812,15.494,5.588000000000001
10,14,1875,18,Patrick Petersen,St John's,Male,dark,fair,19.304,15.24,6.35
7,7,1893,19,Eric Crawford,Trinity Hall,Male,dark,brown,20.066000000000003,16.51,5.588000000000001
8,7,1895,24,Willie Clark,Jesus,Male,light,dark,20.828,15.494,6.096
10,19,1880,18,Eric Keller,Sidney Sussex,Male,dark,red,20.066000000000003,14.478000000000002,6.35
1,8,1886,21,Joseph Le,Queen's,Male,light,dark,19.558,14.986,6.35
2,6,1886,18,Douglas Williams,Trinity,Male,dark,jet-black,19.812,14.986,6.35
5,19,1874,23,Duane Gilmore,Sidney Sussex,Male,medium,dark,19.558,14.732,6.096
7,23,1880,23,Eugene Lee,Christ's,Male,medium,dark,19.304,15.24,6.35
1,16,1876,22,Billy Wilkerson,King's,Male,dark,brown,19.812,14.732,5.842
4,13,1874,21,Adam Nguyen,St John's,Male,dark,red,19.304,15.494,6.604
5,5,1899,18,Diana Warner,Hughes Hall,Female,dark,dark,19.812,14.223999999999998,6.35
8,30,1869,21,John Lawson,Downing,Male,medium,brown,20.573999999999998,16.256,5.842
7,4,1869,22,Henry Fields,Gonville & Caius,Male,medium,jet-black,19.304,14.732,5.842
6,30,1884,18,Scott Peterson,St John's,Male,medium,brown,19.558,15.24,6.096
6,6,1894,22,Billy Andrews,Christ's,Male,medium,jet-black,18.541999999999998,15.748000000000001,6.604
6,30,1870,21,John Wallace,Gonville & Caius,Male,dark,red,19.558,15.24,6.35
7,22,1889,23,David Johnson,Gonville & Caius,Male,light,jet-black,19.812,15.24,5.588000000000001
8,24,1870,19,Keith Anderson,Trinity Hall,Male,dark,dark,20.066000000000003,15.494,6.604
10,16,1882,20,John Proctor,Trinity,Male,dark,brown,18.034,15.748000000000001,6.604
12,5,1878,18,John Rodgers,Jesus,Male,medium,brown,20.066000000000003,15.494,6.35
2,27,1871,24,Robert Murphy,Trinity,Male,light,jet-black,19.558,14.986,6.35
11,11,1881,23,Kenneth Stewart,Emmanuel,Male,dark,brown,19.812,14.986,7.111999999999999
3,19,1881,22,Darius Perez,St Catharine's,Male,dark,dark,20.828,15.748000000000001,6.096
1,8,1886,18,Peter Kelly,Pembroke,Male,dark,dark,19.558,15.494,6.604
4,9,1881,22,Matthew Bullock,Selwyn,Male,dark,jet-black,19.304,16.256,5.588000000000001
12,15,1890,21,Eddie Griffith,St John's,Male,medium,jet-black,20.066000000000003,14.986,6.35
12,24,1890,19,Zachary Franklin,Gonville & Caius,Male,dark,dark,20.066000000000003,14.986,6.604
2,14,1882,21,Zachary Bass,Queen's,Male,dark,fair,20.32,14.732,5.842
11,17,1888,30,Joseph Thompson,Peterhouse,Male,dark,red,20.066000000000003,16.002,6.35
6,13,1890,23,Patrick Phillips,Peterhouse,Male,dark,dark,19.812,16.002,6.8580000000000005
12,30,1902,18,James Church,Corpus Christi,Male,light,brown,20.066000000000003,15.494,5.3340000000000005
6,24,1884,20,Samuel Griffith,Pembroke,Male,dark,dark,20.066000000000003,15.494,6.35
9,9,1866,24,Charles Watson,Clare,Male,medium,brown,20.32,14.223999999999998,5.842
2,4,1896,22,Steven Martin,Corpus Christi,Male,light,fair,19.05,15.748000000000001,5.842
10,23,1892,21,Adam Garrison,Downing,Male,dark,red,19.558,14.986,6.35
8,23,1873,21,Jerry Reynolds,Trinity Hall,Male,light,brown,18.796000000000003,16.002,6.096
3,20,1889,20,James Smith,Selwyn,Male,dark,fair,20.573999999999998,15.494,6.096
5,15,1868,30,Terry Evans,Emmanuel,Male,medium,brown,19.05,15.24,6.604
2,12,1893,21,Robert Turner,Christ's,Male,medium,dark,20.32,14.478000000000002,6.604
3,23,1877,24,Ray Torres,Sidney Sussex,Male,light,red,18.288,15.494,6.096
6,21,1876,21,Christopher Warren,St Catharine's,Male,dark,dark,19.812,16.002,6.35
5,12,1865,24,Thomas Floyd,Fitzwilliam,Male,light,fair,20.066000000000003,15.24,6.604
4,2,1889,24,Brian Acosta,King's,Male,dark,dark,20.066000000000003,15.24,6.35
2,21,1884,18,Luke Nelson,Selwyn,Male,medium,fair,19.812,15.494,6.604
7,19,1877,23,Brian Kaiser,St John's,Male,light,jet-black,19.812,15.24,6.096
6,29,1898,20,Kevin David,Gonville & Caius,Male,medium,fair,19.05,14.732,5.842
6,27,1870,24,Christopher Thomas,St Edmund's,Male,dark,red,19.558,15.494,6.096
1,31,1869,20,David Torres,St John's,Male,light,jet-black,19.812,15.24,6.096
2,22,1877,21,Stephen Wheeler,Pembroke,Male,dark,fair,19.558,15.24,5.842
6,10,1874,19,Michael Pugh,St John's,Male,dark,dark,21.336000000000002,14.732,6.604
3,11,1884,30,David Myers,Jesus,Male,dark,brown,18.796000000000003,15.748000000000001,6.35
1,4,1891,26,Michael Weaver,Corpus Christi,Male,dark,jet-black,19.558,15.494,6.35
4,15,1882,21,Brett Cooper,Magdalene,Male,medium,fair,20.066000000000003,14.478000000000002,6.096
1,27,1885,22,Warren Chung,Sidney Sussex,Male,light,fair,19.558,15.24,5.3340000000000005
2,9,1867,22,Bernard Martinez,Downing,Male,dark,jet-black,21.082,15.748000000000001,6.096
4,10,1881,19,Mark Lynch,Peterhouse,Male,light,fair,20.32,15.494,6.35
7,31,1877,20,Jason Gross,Selwyn,Male,dark,fair,20.066000000000003,15.748000000000001,5.588000000000001
10,28,1871,24,Nicholas Parsons,Clare,Male,medium,dark,20.066000000000003,14.986,6.096
7,2,1897,23,Jerome Chambers,Clare,Male,medium,dark,19.812,16.002,5.588000000000001
10,4,1879,22,Mario Palmer,Pembroke,Male,medium,fair,19.812,15.24,6.604
10,25,1881,22,Joshua Davenport,Emmanuel,Male,dark,jet-black,19.558,15.24,6.35
4,1,1883,19,Patrick Johnson,Peterhouse,Male,light,brown,19.558,14.478000000000002,6.35
9,7,1874,22,Austin Harris,Queen's,Male,light,dark,20.32,14.478000000000002,6.096
5,6,1887,23,Paul Simpson,King's,Male,dark,fair,19.558,15.494,6.8580000000000005
7,21,1874,23,Larry Dillon,Emmanuel,Male,light,fair,20.573999999999998,14.986,5.3340000000000005
